Id,SoilName,Depth_mm,IsTopsoil,RockFragment_%,RockDepth_mm,MaxRootingDepth_mm,θs,θr,Ks,Ψm,σ,σMac,ΨmMac,θsMacMat,θsMacMat_ƞ,0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
21111930210011021,Kaitk_1a.2,95.0,1,0.0,3000.0,350.0,0.536,0.03300899058743431,0.17295464293647977,13412.78189820338,2.4004594370650896,0.9049145899445867,0.7675,10.0,0.4850342202102985,0.536,0.44647816589663464,0.4218740553277144,0.38832341964144435,0.3586698110503938,0.3462088393495201,0.281024842494062,0.10409058047916221
21111930210011022,Kaitk_1a.2,345.0,0,0.0,3000.0,350.0,0.495,0.0993185619601341,0.2626493040329772,6590.149338409199,2.1635820651896,0.8304912238055636,0.7675,10.0,0.411093155783754,0.495,0.3747231719741252,0.3513138672242949,0.320438429866563,0.2943006698581078,0.283655847424312,0.23138043340235304,0.12248792162922734
21111930210011023,Kaitk_1a.2,995.0,0,0.0,3000.0,350.0,0.105,0.09499999999999967,9.754222327512039e-7,1.6275479141771909e7,3.9999999999977045,0.9549420738407565,0.7675,10.0,0.10026891775327942,0.105,0.1002441897719031,0.10022851659261248,0.10020468622509718,0.1001806269556685,0.1001695206363565,0.1000989949796136,0.09963317126986554
21111930210011024,Kaitk_1a.2,1015.0,0,0.0,3000.0,350.0,0.55,0.19999999999204093,0.00856233889447226,379951.7007336146,3.5150714423664855,0.9742293865528477,0.7675,10.0,0.5358261626040663,0.55,0.5258939883436193,0.5205374792278291,0.5130706704781409,0.5061147403782046,0.5030578777567944,0.4853256426258778,0.4029285905302067
22192923000431021,Lism_43a.2,100.0,1,0.0,3000.0,1000.0,0.555,2.983908562485945e-11,0.023281490811195918,67192.44931186938,2.303026465798765,0.9242309348281135,0.7675,10.0,0.512948168829603,0.555,0.5043968568287359,0.49558378594571983,0.4803733001160364,0.46404243499178827,0.45637882078235115,0.4082694783483942,0.18653657214657193
22192923000431022,Lism_43a.2,350.0,1,0.1,3000.0,1000.0,0.451,0.09298187718335446,0.17528441338923964,39478.52580612565,2.7603090185701835,0.8739975514836588,0.7675,10.0,0.3941728957191301,0.45100000000000007,0.3770838699222264,0.36661749354107986,0.3520205890991167,0.33866466039531573,0.332900800770155,0.30097574506426883,0.18765699397225735
22192923000431023,Lism_43a.2,1000.0,0,0.625,3000.0,1000.0,0.21400000000000002,0.053374999999274246,0.0013201388907964514,3724.5878492574016,1.9733754621149446,0.818938545023957,0.7675,10.0,0.17525284863512683,0.21400000000000002,0.15643071510180714,0.1444672210312967,0.12938495277067913,0.11729421984153335,0.11255659788961486,0.09095842933764332,0.05709837444963655
22192923000431024,Lism_43a.2,1020.0,0,0.675,3000.0,1000.0,0.1871,0.017349999999999793,0.001426581602712205,1480.2315064028664,1.665789561584208,0.7500000000035795,0.7675,10.0,0.14032500000066972,0.1871,0.10867792541269124,0.09028248130280629,0.07002210433588826,0.05610631291772632,0.051208700443156965,0.03281100831503192,0.017692017480957823
22192923000441021,Lism_44a.2,100.0,1,0.0,3000.0,1000.0,0.523,1.2774610552958171e-8,0.02104801505574188,77125.79889263699,2.8705328918584505,0.9365776525546716,0.7675,10.0,0.4898301122860933,0.523,0.47042999006430314,0.4579729464329566,0.4400504590297558,0.4231508504763606,0.41571827010815227,0.37308563895260116,0.20003323583263474
22192923000441022,Lism_44a.2,350.0,0,0.08,3000.0,1000.0,0.45236000000000004,0.16687885341923467,0.17923744481601003,16569.904769716344,2.470919408124338,0.8702973939193935,0.7675,10.0,0.3936877291133769,0.45236000000000004,0.37593439830923336,0.36467309602649,0.34921652926762836,0.3354300803977206,0.329597173804893,0.298648270126445,0.20913478653624268
